block,ppsUSDC,ppsmkUSD,ppsUSDT,ppsFRAX
19089300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19090500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19091700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19092900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19094100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19095300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19096500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19097700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19098900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19100100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19101300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19102500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19103700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19104900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19106100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19107300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19108500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19109700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19110900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19112100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19113300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19114500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19115700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19116900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19118100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19119300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19120500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19121700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19122900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19124100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19125300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19126500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19127700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19128900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19130100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19131300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19132500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19133700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19134900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19136100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19137300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19138500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19139700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19140900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19142100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19143300,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19144500,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19145700,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19146900,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19148100,1.04E+18,1.00E+18,1.10E+18,1.05E+18
19149300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19150500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19151700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19152900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19154100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19155300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19156500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19157700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
